nhibernate/NHibernate.AspNet.Identity
mathnet/mathnet-filtering
HangfireIO/Hangfire
uComponents/nuPickers
kinetiq/Ether.WeightedSelector
UweKeim/ZetaLongPaths
StefanOssendorf/SecurityHeadersMiddleware
xenolightning/AudioSwitcher
XForms/Xamarin-Forms-Labs
richardszalay/mockhttp
xunit/samples
simplare/stoffi
castleproject/castlezmq
danbarua/Nancy.Hal
crossvertise/ActionMailerNext
PrintsCharming/ObjectHydrator
somdoron/NetMQ.WebSockets
psibernetic/Susanoo
hudl/Mjolnir
mgravell/protobuf-net
steentottrup/NForum
cake-build/cake
OctopusDeploy/Octodiff
JonPSmith/SampleMvcWebApp
NServiceKit/NServiceKit.OrmLite
LogFlow/LogFlow
KerbalSystems/Ketchup
ZeroK-RTS/Zero-K-Infrastructure
j6mes/httplib
NakedObjectsGroup/NakedObjectsFramework
Abc-Arbitrage/Zebus
martincostello/sqllocaldb
nHydrate/nHydrate
jacobdufault/fullserializer
dzharii/swd-recorder
DanTup/DartVS
JonPSmith/GenericServices
Azure/azure-sdk-for-media-services-extensions
shogo82148/MiniMessagePack
conceptdev/xamarin-forms-samples
jbogard/EntityFramework.Filters
Yonom/CupCake
xamarin/xamarin-forms-samples
xunit/xamarin.xunit
Mimetis/SyncWinRT
Runt-Editor/Runt
nycdotnet/TSqlFlex
Claytonious/Frictionless
cliftonm/HOPE
aspnet/StaticFiles
xanathar/moonsharp
EamonNerbonne/ExpressionToCode
aegif/CmisSync
ligershark/AzureJobs
Code-Sharp/WampSharp
aspnet/Diagnostics
SergeyTeplyakov/ReSharperContractExtensions
StephenCleary/Comparers
Myrcon/Procon-2-Potato
rexm/Handlebars.Net
DaveSenn/PortableExtensions
oenning/SharpSapRfc
IoFx/IoFx
Scooletz/NGitLab
LeviBotelho/LearnAngular
aspnet/Testing
MSOpenTech/azure-activedirectory-library-for-dotnet
aspnet/DataProtection
aspnet/SignalR-Server
aspnet/Hosting
neuecc/UniRx
aspnet/Security
aspnet/DataCommon.SQLite
aspnet/Mvc
aspnet/Routing
aspnet/HttpAbstractions
aspnet/MusicStore
7Pass/7Pass-Remake
Ravadre/Stacks
osjoberg/LinqCache
joelweiss/ChangeTracking
pofider/AzureBlobFileSystem
LHCGreg/animerecs
xunit/resharper-xunit
xamarin/SignaturePad
Sitefinity/feather
splunk/splunk-sdk-csharp-pcl
cjbhaines/Log4Net.Async
jchannon/Owin.StatelessAuth
HenkMollema/Dapper-FluentMap
Tynamix/ObjectFiller.NET
brandondahler/Data.HashFunction
NServiceKit/NServiceKit.Redis
zpqrtbnk/Zbu.Yol
Impyy/SharpTox
justeat/JustBehave
ronnycsharp/WPFLight
garuma/bikr
JustGiving/JustGiving.EventStore.Http
appium/appium-dotnet-driver
belczyk/elasticops
OpenSharp/UnitWrappers
dkackman/DynamicRestProxy
kriasoft/AspNet.Identity
gridsum/DataflowEx
NicolasDorier/NBitcoin
davemckeown/TidyTabs-VisualStudio
mono/roslyn
KyleGobel/Hipchat-CS
ashmind/TryRoslyn
DropNet/DropNetRT
DropNet/DropNet
flickr-downloadr/flickr-downloadr-gtk
exxeleron/qSharp
vknet/vk
Azure/azure-sdk-for-net
etishor/Metrics.NET
Azure/azure-sdk-for-media-services
Azure/azure-mobile-services
nhibernate/NHibernate-Search
MSOpenTech/azure-activedirectory-jwt-token-handler-for-dotnet
laktak/hjson-cs
RadicalFx/radical
AdamsLair/treeviewadv
canton7/Stylet
sschmid/Entitas-CSharp
akkadotnet/akka.net
ProtoTest/ProtoTest.Golem
Merchello/Merchello
imazen/resizer
rogeralsing/akka.net
OsmSharp/OsmSharp
CenturyLinkCloud/ElasticLINQ
breeze/breeze.sharp
kbilsted/StatePrinter
pschichtel/LyricsReloaded
inflatablefriends/lastfm
danielmoore/WpfIgniter
elasticsearch/elasticsearch-net
tavis-software/Tavis.PrivateCache
coding-chick/BeatsMusicCSharp
Esri/joint-military-symbology-xml
KSP-KOS/KOS
Astn/JSON-RPC.NET
mikeckennedy/mongodb-query-helper-for-dotnet
telerik/JustMockLite
dvsekhvalnov/jose-jwt
merchantwarehouse/syslog4net
Jroland/kafka-net
HeadspringLabs/bulk-writer
Particular/GitVersion
Criteo/memcache-driver
tunnelvisionlabs/antlr4cs
ezet/evelib
jamesmontemagno/MyExpenses
onovotny/BouncyCastle-PCL
joancaron/OpenWeatherMap-Api-Net
NuGet/json-ld.net
rprouse/GitHubExtension
welegan/RedisSessionProvider
i4004/Simplify
phatcher/CsvReader
ashmind/ashmind-extensions
tmenier/Flurl
SimonCropp/Chevron
djungelorm/krpc
Geta/EPi.Extensions
nerdfury/Slack.Webhooks
OsmSharp/GTFS
KvanTTT/MathExpressions.NET
cityindex-attic/CIAPI.CS
Aaronontheweb/helios
RobertSmith/Orchestrate.NET
maxtoroq/MvcCodeRouting
exceptionless/Exceptionless
NicoVermeir/XamlStyler
Particular/GitHubReleaseNotes
WebApiContrib/WebApiContrib.Formatting.Xlsx
urasandesu/Prig
MatterHackers/MatterControl
smolyakoff/essential-templating
maingi4/ProtoBuf.Wcf
psmacchia/NDepend.Path
DynamoDS/Dynamo
qianlifeng/Wox
Taggersoft/SharpMTProto
AndresTraks/BulletSharp
MatterHackers/MatterSlice
DarkAutumn/WinterBot
scommisso/vimeo-dot-net
MatterHackers/agg-sharp
sergeyshushlyapin/Sitecore.FakeDb
uComponents/uComponents
chocolatey/ChocolateyGUI
manicdigger/manicdigger
mj1856/GeoTimeZone
RobThree/NIdenticon
developerforce/Force.com-Toolkit-for-NET
toggl/mobile
mmbot/mmbot
drusellers/etcetera
HubertJ/QuandlCS
Fortis-Collection/fortis
OpenCover/opencover
praeclarum/Bind
alisabzevari/ngval
bchavez/SharpFlame
MRCollective/AzureWebFarm.OctopusDeploy
rogeralsing/Pigeon
jacobdufault/forge
rnicoll/ncrypto-currency-exchange
graemechristie/NinjaSettings
haysclark/unity3d-texturepackerimporter
AvilanceLtd/StarryboundServer
controlflow/resharper-postfix
SparkDevNetwork/Rock
BenFradet/RiotSharp
robconery/monkey-fist
ceee/ReadSharp
Geaz/sharpDox
XeeX/LeagueOfLegendsAPI
grokys/Perspex
uhaciogullari/SimpleMvcSitemap
safakgur/Dawn.SocketAwaitable
playgameservices/play-games-plugin-for-unity
bchavez/Coinbase
jstedfast/MailKit
ServiceStackV3/ServiceStack.Contrib
tonyqus/toxy
xplicit/HyperFastCgi
wnmp/wnmp
flagbug/Lager
tumtumtum/Shaolinq
Particular/docs.particular.net
rscustom/rocksmith-custom-song-toolkit
frabert/NetLua
Aaronontheweb/qdfeed
webformsmvp/webformsmvp
mrsharpoblunto/BobbyTables
